"","Generation","Identity","Population","Frequency","Group_id","Unique_id"
"325",6,"genotype-15",12,0.0638524299396949,"genotype-15","genotype-15_6"
"341",6,"genotype-15",12,0.0638524299396949,"genotype-15a","genotype-15a_6"
"326",6,"genotype-11",1.56666666666667,0.00833628946434906,"genotype-11","genotype-11_6"
"342",6,"genotype-11",1.56666666666667,0.00833628946434906,"genotype-11a","genotype-11a_6"
"324",6,"genotype-1",13.15,0.069971621142249,"genotype-1","genotype-1_6"
"340",6,"genotype-1",13.15,0.069971621142249,"genotype-1a","genotype-1a_6"
"323",6,"genotype-14",16.25,0.0864668322100035,"genotype-14","genotype-14_6"
"339",6,"genotype-14",16.25,0.0864668322100035,"genotype-14a","genotype-14a_6"
"321",6,"genotype-2",32.5,0.172933664420007,"genotype-2","genotype-2_6"
"337",6,"genotype-2",32.5,0.172933664420007,"genotype-2a","genotype-2a_6"
"338",6,"genotype-9",17.5,0.0931181269953884,"genotype-9a","genotype-9a_6"
"330",6,"genotype-10",0,0,"genotype-10","genotype-10_6"
"346",6,"genotype-10",0,0,"genotype-10a","genotype-10a_6"
"344",6,"genotype-4",0.5,0.00266051791415396,"genotype-4a","genotype-4a_6"
"343",6,"genotype-13",0.5,0.00266051791415396,"genotype-13a","genotype-13a_6"
"336",6,"genotype-8",0,0,"genotype-8","genotype-8_6"
"331",6,"genotype-12",0,0,"genotype-12","genotype-12_6"
"347",6,"genotype-12",0,0,"genotype-12a","genotype-12a_6"
"352",6,"genotype-8",0,0,"genotype-8a","genotype-8a_6"
"345",6,"genotype-0",0,0,"genotype-0a","genotype-0a_6"
"361",7,"genotype-0",0,0,"genotype-0","genotype-0_7"
"367",7,"genotype-7",0,0,"genotype-7","genotype-7_7"
"383",7,"genotype-7",0,0,"genotype-7a","genotype-7a_7"
"359",7,"genotype-13",0.5,0.0037110341415141,"genotype-13","genotype-13_7"
"360",7,"genotype-4",0.5,0.0037110341415141,"genotype-4","genotype-4_7"
"355",7,"genotype-9",4.4,0.0326571004453241,"genotype-9","genotype-9_7"
"366",7,"genotype-6",0,0,"genotype-6","genotype-6_7"
"382",7,"genotype-6",0,0,"genotype-6a","genotype-6a_7"
"365",7,"genotype-5",0,0,"genotype-5","genotype-5_7"
"381",7,"genotype-5",0,0,"genotype-5a","genotype-5a_7"
"364",7,"genotype-3",0,0,"genotype-3","genotype-3_7"
"380",7,"genotype-3",0,0,"genotype-3a","genotype-3a_7"
"358",7,"genotype-15",3.35,0.0248639287481445,"genotype-15","genotype-15_7"
"374",7,"genotype-15",3.35,0.0248639287481445,"genotype-15a","genotype-15a_7"
"354",7,"genotype-11",5.66666666666667,0.0420583869371598,"genotype-11","genotype-11_7"
"370",7,"genotype-11",5.66666666666667,0.0420583869371598,"genotype-11a","genotype-11a_7"
"357",7,"genotype-1",3.5,0.0259772389905987,"genotype-1","genotype-1_7"
"373",7,"genotype-1",3.5,0.0259772389905987,"genotype-1a","genotype-1a_7"
"356",7,"genotype-14",3.85,0.0285749628896586,"genotype-14","genotype-14_7"
"372",7,"genotype-14",3.85,0.0285749628896586,"genotype-14a","genotype-14a_7"
"353",7,"genotype-2",45.6,0.338446313706086,"genotype-2","genotype-2_7"
"369",7,"genotype-2",45.6,0.338446313706086,"genotype-2a","genotype-2a_7"
"371",7,"genotype-9",4.4,0.0326571004453241,"genotype-9a","genotype-9a_7"
"362",7,"genotype-10",0,0,"genotype-10","genotype-10_7"
"378",7,"genotype-10",0,0,"genotype-10a","genotype-10a_7"
"376",7,"genotype-4",0.5,0.0037110341415141,"genotype-4a","genotype-4a_7"
"375",7,"genotype-13",0.5,0.0037110341415141,"genotype-13a","genotype-13a_7"
"368",7,"genotype-8",0,0,"genotype-8","genotype-8_7"
"363",7,"genotype-12",0,0,"genotype-12","genotype-12_7"
"379",7,"genotype-12",0,0,"genotype-12a","genotype-12a_7"
"384",7,"genotype-8",0,0,"genotype-8a","genotype-8a_7"
"377",7,"genotype-0",0,0,"genotype-0a","genotype-0a_7"
"393",7.5,"genotype-0",0,0,"genotype-0","genotype-0_7.5"
"399",7.5,"genotype-7",0,0,"genotype-7","genotype-7_7.5"
"415",7.5,"genotype-7",0,0,"genotype-7a","genotype-7a_7.5"
"391",7.5,"genotype-13",0.5,0.00328803156510302,"genotype-13","genotype-13_7.5"
"392",7.5,"genotype-4",0.5,0.00328803156510302,"genotype-4","genotype-4_7.5"
"386",7.5,"genotype-9",9.15,0.0601709776413854,"genotype-9","genotype-9_7.5"
"398",7.5,"genotype-6",0,0,"genotype-6","genotype-6_7.5"
"414",7.5,"genotype-6",0,0,"genotype-6a","genotype-6a_7.5"
"397",7.5,"genotype-5",0,0,"genotype-5","genotype-5_7.5"
"413",7.5,"genotype-5",0,0,"genotype-5a","genotype-5a_7.5"
"396",7.5,"genotype-3",0,0,"genotype-3","genotype-3_7.5"
"412",7.5,"genotype-3",0,0,"genotype-3a","genotype-3a_7.5"
"388",7.5,"genotype-15",7.175,0.0471832529592284,"genotype-15","genotype-15_7.5"
"404",7.5,"genotype-15",7.175,0.0471832529592284,"genotype-15a","genotype-15a_7.5"
"389",7.5,"genotype-11",5.85833333333333,0.0385247698377904,"genotype-11","genotype-11_7.5"
"405",7.5,"genotype-11",5.85833333333333,0.0385247698377904,"genotype-11a","genotype-11a_7.5"
"390",7.5,"genotype-1",3.775,0.0248246383165278,"genotype-1","genotype-1_7.5"
"406",7.5,"genotype-1",3.775,0.0248246383165278,"genotype-1a","genotype-1a_7.5"
"387",7.5,"genotype-14",8.225,0.0540881192459448,"genotype-14","genotype-14_7.5"
"403",7.5,"genotype-14",8.225,0.0540881192459448,"genotype-14a","genotype-14a_7.5"
"385",7.5,"genotype-2",40.85,0.268632178868917,"genotype-2","genotype-2_7.5"
"401",7.5,"genotype-2",40.85,0.268632178868917,"genotype-2a","genotype-2a_7.5"
"402",7.5,"genotype-9",9.15,0.0601709776413854,"genotype-9a","genotype-9a_7.5"
"394",7.5,"genotype-10",0,0,"genotype-10","genotype-10_7.5"
"410",7.5,"genotype-10",0,0,"genotype-10a","genotype-10a_7.5"
"408",7.5,"genotype-4",0.5,0.00328803156510302,"genotype-4a","genotype-4a_7.5"
